News,Relevance
"Broken pathways, waterlogged pockets and long traffic jams — Nehru Place, once among Delhi’s premier commercial centres, is grappling with a host of problems, thanks to official apathy and delayed development projects.",yes
"Local train services on the Harbour Line in Mumbai were disrupted on Wednesday due to a rail fracture near Govandi station, a Central railway official said.",yes
@IRCTCofficial we boarded 12016 Shatabdi express from Gandhi nagar Jaipur. The pantry staff has not served us evening snacks and are saying that only dinner is included in the fare. If snacks are required Rs 90 per person is to be paid. Is it true?,yes
"Indian Railways will carry out the mega block in Mumbai on Sunday, July 3 due to which local train services will be affected on various routes. According to a circular by Central railway, the mega block has been announced to carry out various operational maintenance work of tracks, signalling, and overhead equipment.",yes
"Swarnam Karipur Vima tried to bypass customs and illegally pass  The police caught him in Nathavala area.  53 lakhs worth of gold in capsule form seized  The plant  Two people were taken into custody.  From Sharjah to Kozhikode Nadapuram Chalapuram Swadeshi Putiottil Mu.  Hammad Asif (28), Malappuram, Mambad Paratha, where he was about to be taken away.  Mmal Chungat, CH.  Muhammad Yasser (30) was arrested.  X-ray examination carried out at Swakarya Hospital in Kondotti  Capsules containing 1,119 grams of gold were found in Nayil.  1.034 grams of gold was isolated from the extracted capsules.  The police know that they are investigating those who were behind it.",no
"The Road Accidents in India 2018 report by the Ministry of Road Transport and Highways (MoRTH) showed that roads with sharp curves, potholes and steep gradient tend to be more accident-prone because successfully negotiating them requires skill, extra care and alertness. The report also said that bridges, curved and straight roads saw the largest rise in accidents. As per National Crime Records Bureau data (NCRB), the national (NH) and state highways (SH), which respectively cover just 1.9% and 2.97% of the 58 lakh km of the road network in the country, accounted for 29.4% and 24.5% of the accidents last year. ""These accidents are caused due to the tendency to over-speed on the good quality of Expressways and Highways wherein the safety parameters are often compromised to reduce costs,"" K K Kapila, President Emeritus of International Road Federation (IRF), told DH.",yes
"Prime Minister Narendra Modi spoke with several European leaders over Ukraine crisis on Tuesday and expressed his anguish over the deteriorating situation and the humanitarian crisis in the war-hit country, while reiterating India's appeal for cessation of hostilities and a return to dialogue, the PMO said.",no
"Bad loans have been an ever-present problem in the banking sector, but following last year's shutdowns caused by the Covid-19 pandemic, the RBI  The announced moratorium also worsened the situation.  Banks' report that non-performing assets will increase this year has added to the relevance of the concept of bad banks.",yes
"o one can ever understand the relationship a person has with tea. It’s not just a cup of hot beverage that helps you start the day but is an integral part of our lives. The culture of tea drinking is very old in India and from roadside stalls to 5-star hotels, everyone makes this beverage in a unique style! From Masala Chai to Sulaimani Chai, Noon Chai to Butter Tea, one can find a variety of teas across the country. We recently spotted some of this influence in Desi Cappuccino Chai, which is found in Kolkata and is something that many people have not heard of!",no
"West Indies vs New Zealand Live Cricket Score and Updates: WI vs NZ 3rd T20I match Live cricket score at Sabina Park, Kingston, Jamaica",no
"Liverpool are still winless in the ongoing Premier League 2022-23 season after the Reds played out a 1-1 draw against Crystal Palace on Monday at Anfield. However, the biggest talking point of the game came in the 57th minute as Darwin Nunez was sent off for a headbutt. It is important to note that the match against Palace was Nunez's full-time debut for the Reds at home (Anfield). Palace's Joachim Anderson had pushed the Uruguayan star, and then the Liverpool star reacted angrily, and this eventually led to him being issued a red card for headbutting the Palace player.",no
"A few days ago, a video of a massive traffic jam on the Kalka-Shimla highway went viral, giving the impression that hordes of tourists are thronging Himachal Pradesh once again. Hoteliers in the hill state, however, insist tourism continues to be badly hit by the pandemic and that they are staring at another summer of lost business. The tourists in the video were mainly from Chandigarh and other nearby towns—the kind who visit the state for a short while, especially on weekends.",yes
"On the basis of existing tax rates, import parity price and rupee depreciation, the regulator had worked out an increase of Rs5.50 per litre in the price of petrol and that of high speed diesel (HSD) by about Rs9 per litre. The increase for other products, kerosene and light diesel oil, has been calculated at about Rs3-5 per litre, a government official told Dawn, adding that the major incr­ease had been worked out mainly beca­use of exchange rate loss and a minor impact of international oil price.",yes
"Study reports that chemical pesticides are widely used in India, causing fatal health problems.  Illegal and widespread use of pesticides has been found in the State of Chlorpyrifos, Fipronil, Atrazine and Paraquat Dichloride in India report by Pesticide Action Network India, a public interest research organization, which was released at a workshop on concerns raised by chemical pesticides in the health and food safety sector held today at the conference hall of the Thrissur Public Works Department.",yes
"Road accidents are perceived as “silent disasters” by the road safety engineering and consulting engineering communities. Every year, a large number of people are killed or injured as a result of poor road transportation systems in various parts of India.",yes
"UK’s largest non-governmental science funder is perpetuating systemic racism within the organisation and the research community, review finds  ‘Wellcome is still an institutionally racist organisation’, admitted director Jeremy Farrar last week. He apologised that the organisation had not acted ‘with the urgency required’ following its commitment to becoming an anti-racist organisation two years prior. This came after the funder published an independent review of its anti-racism initiatives that concluded Wellcome is perpetuating and exacerbating systemic racism.",no
"External Affairs Minister, Dr S Jaishankar, while highlighting the key points during the BRICS foreign ministers meeting held virtually on Thursday said members must respect territorial integrity. This statement comes at a time when reports based on satellite images suggests that China has begun to construct a second bridge across Pangong Lake.",no
"The unfulfilled dream of budget housing in India. Affordable housing continues to nest in the government’s scheme of things but the private sector is turning away. Developers see more scope in mid-segment homes. For them, there is more profit in catering to this segment or luxury housing. They are picking projects that assure better returns.",yes
"The causes of road accidents are several and often, it is the result of an interplay of various factors like human error, road environment and vehicular condition. From untrained drivers, poor road design to the lack of traffic signage and inadequate road literacy, a number of reasons are cited for the unending accidents. The increase in the number of vehicles, poor quality helmets, and scant regard for traffic rules also find a place in the top of the list of the causes of rising accidents. ",yes
"A delegation led by Advocate Badrul Dujja  Executive Member RTI Movement legal cell  met K K Venugopal, the Attorney General of India at his office in New Delhi on Saturday.  Advocate Badrul Dujja handed over a written memorandum to Attorney General of India who ensured assistance regarding payment of issue of Fair compensation to farmers and landowners of Srinagar Ring Road who have been asking for payment of fair compensation as per the central act made applicable to J&K post article 370 abrogation.",no
"To prevent waterlogging at IP Estate opposite the WHO building during the monsoon, the Public Works Department (PWD) is installing nine pumps and is constructing a stormwater drain along with a sump of 5 lakh litres capacity, said Deputy Chief Minister Manish Sisodia.",yes
"California's Legal Ground in Battling Caste Discrimination Takes Centre Stage in Historic Cisco Case The California government used sections of the Civil Rights Act, which emerged out of the struggle against segregation, to file a lawsuit on grounds that a Dalit had been discriminated against by his 'upper' caste supervisors",no
This network is west network in this earth. Which is not provide good service to its customers . The post office is working better then this network. Most cheep network in this planet. This network show its signal in mobile that is also west because we can’t make even call on that showing net working. And make its own un torchar sound.,yes
"The Bajirao Mastani star is at the centre of debate on what constitutes obscenity over his bare-bodied photographs that he shared on his Instagram page, the issue dominating discussions in TV studios, social media, and drawing rooms. Hindi film actor Ranveer Singh, who is known for his films and his bizarre fashion choices, is ruling the headlines-not for a role but a photoshoot in an international magazine. ",no
"The Juvenile Justice (Care and Protection of Children Act) was passed in Parliament in 2015 to replace the Juvenile Delinquency Law and the Juvenile Justice (Care and Protection of Children Act) 2000. One of the key provisions of the new law was allowing the trial of juveniles, aged 16 to 18, as adults in cases where the crimes were to be determined, according to The Indian Express report.  The nature of the crime and whether the minor should be tried as an adult is determined by a Juvenile Justice Board.",no
"Questions (FAQs), to resolve issues raised by job aspirants who have resorted to violence and protests over alleged irregularities in the screening process of its exams. These FAQs have been released to explain the recruitment procedure.  ",yes
"From a ban on hosting international matches to competing in them as well as signing foreign players for club competitions, Indian football stares at an uncertain future after FIFA, late on Monday, suspended the All India Football Federation (AIFF) for ‘undue influence’ from third parties.  The impact of this suspension could be drastic. It’s first big blow will be losing the hosting rights of the Under-17 Women’s World Cup. “The suspension means that the FIFA U-17 Women’s World Cup 2022™, scheduled to take place in India on 11-30 October 2022, cannot currently be held in India as planned,” the statement said, adding that they are ‘assessing next steps with regards to the tournament.’",no
"India and the U.S. discussed a broad range of issues — from the COVID-19 response, supply chains and climate action to global and regional issues, but Russia’s war on Ukraine and its ramifications for the world, appeared to have been the major theme for the day. On the defence side, the countries announced several measures at enhancing cooperation, including India joining the Bahrain-based multilateral partnership, Combined Maritime Force (CMF), as an associate partner.",no
